State,CD,STATE_CD,Last_name,First_name,Party,PVI,Sixteen_Winner,Sixteen_Margin,Trump_tot,Clinton_tot,Twelve_winner,Twelve_Margin,Romney_tot,Obama_tot,Trump_net_percentage
CA,1,CA-1,LA MALFA, DOUG ,R,R+11,Trump,19,55,36,Romney,16,56,40,-1
TX,2,TX-2,POE, TED ,R,R+11,Trump,9,52,43,Romney,27,63,36,-11
PA,18,PA-18,MURPHY, TIMOTHY ,R,R+11,Trump,20,58,39,Romney,17,58,41,0
IA,4,IA-4,KING, STEVE ,R,R+11,Trump,27,60,33,Romney,8,53,45,7
OH,5,OH-5,LATTA, BOB ,R,R+11,Trump,25,59,34,Romney,10,54,44,5
FL,8,FL-8,POSEY, BILL ,R,R+11,Trump,21,58,38,Romney,15,57,43,1
MT,AL,MT-AL,ZINKE, RYAN ,R,R+11,Trump,20,56,36,Romney,14,55,42,1
TX,31,TX-31,CARTER, JOHN ,R,R+10,Trump,13,53,40,Romney,21,60,38,-7
CA,4,CA-4,MCCLINTOCK, TOM ,R,R+10,Trump,15,53,39,Romney,18,58,40,-5
MI,4,MI-4,MOOLENAAR, JOHN ,R,R+10,Trump,25,59,35,Romney,8,53,45,6
PA,11,PA-11,BARLETTA, LOU ,R,R+10,Trump,24,60,36,Romney,9,54,45,6
TX,22,TX-22,OLSON, PETE ,R,R+10,Trump,8,52,44,Romney,25,62,37,-10
KS,2,KS-2,JENKINS, LYNN ,R,R+10,Trump,18,56,37,Romney,13,55,42,0
OK,5,OK-5,RUSSELL, STEVE ,R,R+10,Trump,14,53,40,Romney,19,59,41,-6
TX,21,TX-21,SMITH, LAMAR ,R,R+10,Trump,10,52,42,Romney,22,60,38,-8
NC,5,NC-5,FOXX, VIRGINIA ,R,R+10,Trump,17,57,39,Romney,14,56,42,0
SC,1,SC-1,SANFORD, MARK ,R,R+10,Trump,13,53,41,Romney,18,58,40,-5
NC,7,NC-7,ROUZER, DAVID ,R,R+ 9,Trump,18,57,39,Romney,13,56,43,1
MI,2,MI-2,HUIZENGA, BILL ,R,R+ 9,Trump,17,55,38,Romney,13,56,43,-1
AZ,6,AZ-6,SCHWEIKERT, DAVID ,R,R+ 9,Trump,10,52,42,Romney,21,60,39,-8
FL,3,FL-3,YOHO, TED ,R,R+ 9,Trump,16,56,40,Romney,15,58,43,-1
AK,AL,AK-AL,YOUNG, DON ,R,R+ 9,Trump,15,51,37,Romney,14,55,41,-4
SC,5,SC-5,MULVANEY, MICK ,R,R+ 9,Trump,19,57,39,Romney,12,55,44,2
MI,1,MI-1,BERGMAN, JACK ,R,R+ 9,Trump,21,58,37,Romney,8,54,45,4
CA,8,CA-8,COOK, PAUL ,R,R+ 9,Trump,15,55,40,Romney,14,56,42,-1
TX,10,TX-10,MCCAUL, MICHAEL ,R,R+ 9,Trump,9,52,43,Romney,20,59,39,-7
TX,6,TX-6,BARTON, JOE ,R,R+ 9,Trump,12,54,42,Romney,17,58,41,-4
KY,6,KY-6,BARR, ANDY ,R,R+ 9,Trump,15,55,39,Romney,14,56,42,-1
IN,5,IN-5,BROOKS, SUSAN ,R,R+ 9,Trump,12,53,41,Romney,17,58,41,-5
SC,7,SC-7,RICE, TOM ,R,R+ 9,Trump,19,58,39,Romney,10,55,45,3
TX,24,TX-24,MARCHANT, KENNY ,R,R+ 9,Trump,6,51,44,Romney,22,60,38,-10
GA,1,GA-1,CARTER, EARL ,R,R+ 9,Trump,16,56,41,Romney,13,56,43,1
GA,7,GA-7,WOODALL, ROB ,R,R+ 9,Trump,6,51,45,Romney,22,60,38,-9
GA,12,GA-12,ALLEN, RICK ,R,R+ 9,Trump,16,57,41,Romney,12,55,44,2
OH,2,OH-2,WENSTRUP, BRAD ,R,R+ 9,Trump,16,56,40,Romney,11,55,44,1
CA,42,CA-42,CALVERT, KEN ,R,R+ 9,Trump,12,53,41,Romney,15,57,41,-3
NC,6,NC-6,WALKER, B. MARK ,R,R+ 9,Trump,15,56,41,Romney,13,56,43,0
FL,12,FL-12,BILIRAKIS, GUS ,R,R+ 8,Trump,19,57,39,Romney,8,54,46,4
MO,2,MO-2,WAGNER, ANN ,R,R+ 8,Trump,10,53,42,Romney,16,57,42,-5
IL,16,IL-16,KINZINGER, ADAM ,R,R+ 8,Trump,17,55,38,Romney,8,53,45,2
NC,8,NC-8,HUDSON, RICHARD ,R,R+ 8,Trump,15,56,41,Romney,10,55,44,1
OH,16,OH-16,RENACCI, JIM ,R,R+ 8,Trump,17,56,39,Romney,8,54,45,3
VA,1,VA-1,WITTMAN, ROBERT ,R,R+ 8,Trump,12,53,41,Romney,12,56,44,-3
GA,6,GA-6,PRICE, TOM ,R,R+ 8,Trump,2,48,47,Romney,24,61,37,-13
CA,22,CA-22,NUNES, DEVIN ,R,R+ 8,Trump,9,51,42,Romney,15,57,42,-5
WI,6,WI-6,GROTHMAN, GLENN ,R,R+ 8,Trump,17,55,38,Romney,7,53,46,2
NJ,4,NJ-4,SMITH, CHRISTOPHER ,R,R+ 8,Trump,15,56,41,Romney,10,55,45,1
WI,7,WI-7,DUFFY, SEAN ,R,R+ 8,Trump,20,57,37,Romney,3,51,48,6
